"Month","Type","Number","Title","Type2","URL"
1985-09-30,"Law","Ley 15764","APROBACION DE ACUERDO INTERNACIONAL - DERECHOS HUMANOS","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15764-1985"
1985-09-30,"Law","Ley 15763","APROBACION DE ACUERDO INTERNACIONAL - AVIACION CIVIL","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15763-1985"
1985-09-30,"Law","Ley 15762","APROBACION DE ACUERDO INTERNACIONAL - AVIACION CIVIL INTERNACIONAL","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15762-1985"
1985-09-30,"Law","Ley 15761","APROBACION DE ACUERDO INTERNACIONAL - UNION POSTAL DE LAS AMERICAS Y ESPAÑA","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15761-1985"
1985-09-30,"Law","Ley 15760","APROBACION DE ACUERDO INTERNACIONAL - ENSEÑANZA","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15760-1985"
1985-10-31,"Law","Ley 15775","DECLARACION CON CARACTER INTERPRETATIVO LA INCOMPATIBILIDAD ENTRE LA CALIDAD DE EDIL O MIEMBRO DE LAS JUNTAS LOCALES Y FUNCIONARIOS MUNICIPALES","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15775-1985"
1985-11-30,"Law","Ley 15784","ARMADA NACIONAL. VIAJE DE FIN DE CURSOS","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15784-1985"
1985-11-30,"Law","Ley 15783","LEY DE FUNCIONARIOS DESTITUIDOS","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15783-1985"
1985-11-30,"Law","Ley 15782","INCLUSION DENTRO DEL SISTEMA DE SEGURIDAD SOCIAL A LOS EMPLEADOS DEL JOCKEY CLUB DE MONTEVIDEO","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15782-1985"
1985-11-30,"Law","Ley 15781","APROBACION DEL REGIMEN DE FACILIDADES DE PAGO PARA DEUDORES DE LA
DIRECCION GENERAL DE LA SEGURIDAD SOCIAL Y LA DGI","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15781-1985"
1985-11-30,"Law","Ley 15780","DECLARACION DE FERIADO DEPARTAMENTAL. FLORES","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15780-1985"
1985-11-30,"Law","Ley 15779","DECLARACION DE INEMBARGABLES LAS INDEMNIZACIONES A LOS PRODUCTORES
AFECTADOS POR FENOMENOS CLIMATICOS DISPUESTO EN LA LEY 15.753","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15779-1985"
1985-11-30,"Law","Ley 15778","DENOMINACION DE ESCUELA PUBLICA N° 81. SALTO","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15778-1985"
1985-11-30,"Law","Ley 15777","LEY DE CREACION DE ILPE","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15777-1985"
1985-11-30,"Law","Ley 15776","OTORGAMIENTO DE AMNISTIA A LOS DELITOS ESTABLECIDOS EN LA LEY 5.649 RELATIVO, A DETERMINADOS PRODUCTORES RURALES","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15776-1985"
1985-12-31,"Law","Ley 15799","LEY DE ARRENDAMIENTOS URBANOS Y SUBURBANOS - LEY DE EMERGENCIA","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15799-1985"
1985-12-31,"Law","Ley 15798","APROBACION DE ACUERDO INTERNACIONAL - DERECHOS HUMANOS","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15798-1985"
1985-12-31,"Law","Ley 15797","OTORGAMIENTO DE PENSION GRACIABLE. EMILIO CARLOS TACONNI","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15797-1985"
1985-12-31,"Law","Ley 15796","OTORGAMIENTO DE PENSION GRACIABLE. CARLOS GONZALEZ. FEDERICO MOLLER DE 
BERG. GERMAN CABRERA. MARIA FREIRE. ALBERTO CANDEAU. ANGEL CUROTTO. IDELFONSO PEREDA VALDES. IDEA VILARIÑO. CELIA FIGOLI DE BASSO MAGLIO. MARGARITA MORTAROTTI GENTA. VIRGINIA CASTRO. ATILIO RAPAT. EMILIO TACONNE.
MARIA ISABEL GONZALES DE PREVOSTI. ISABEL PARADA DE MONEGAL. ELENA FINOCCHIO. ARMONIA ETCHEPARE DE HENESTROSA. CURT LANGE. JUAN MARTIN GONZALEZ. BLANCA ELMA GONZALEZ DE GARCIA. JUAN HILARIA. JULIO VERDIE. 
EUGEN RELGIS","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15796-1985"
1985-12-31,"Law","Ley 15795","OTORGAMIENTO DE PENSIONES GRACIABLES Y RECOMPENSAS PECUNIARIAS","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15795-1985"
1985-12-31,"Law","Ley 15794","ESTATUTO DE LAS COOPERATIVAS AGROPECUARIAS LIMITADAS","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15794-1985"
1985-12-31,"Law","Ley 15793","CREACION DE LA COMISION HONORARIA PARA EL ESTUDIO DEL APROVECHAMIENTO        INTEGRAL DE LA CUENCA DEL RIO SANTA LUCIA","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15793-1985"
1985-12-31,"Law","Ley 15792","RESIDENCIAS MEDICAS HOSPITALARIAS","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15792-1985"
1985-12-31,"Law","Ley 15791","MODIFICACION DEL CODIGO DE COMERCIO RELATIVO AL CAPITAL MINIMO DE SOCIEDADES ANONIMAS","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15791-1985"
1985-12-31,"Law","Ley 15790","DENOMINACION DE ESCUELA PUBLICA N° 35. CIUDAD DE MINAS. LAVALLEJA","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15790-1985"
1985-12-31,"Law","Ley 15789","DENOMINACION DE ESCUELA PUBLICA N° 117. SAN RAMON. CANELONES","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15789-1985"
1985-12-31,"Law","Ley 15788","PUEBLO RINCON. TREINTA Y TRES","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15788-1985"
1985-12-31,"Law","Ley 15787","APROBACION DE ACUERDO INTERNACIONAL - INVERSIONES","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15787-1985"
1985-12-31,"Law","Ley 15786","APROBACION DE LA LEY DE REFINANCIACION DEL ENDEUDAMIENTO INTERNO","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15786-1985"
1985-12-31,"Law","Ley 15785","CREACION DE LA CORPORACION NACIONAL PARA EL DESARROLLO","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15785-1985"
1986-01-31,"Law","Ley 15804","JUSTICIA MILITAR - JUZGADOS - FISCALIAS","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15804-1986"
1986-01-31,"Law","Ley 15803","LEY DE FUNCIONARIOS DESTITUIDOS","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15803-1986"
1986-01-31,"Law","Ley 15802","OTORGAMIENTO DE PENSION GRACIABLE. DOLLI BARUJ. MONICA VIVES MORATORIO. DILIA DEL CARMEN FERRANDO GULAR. CONCEPCION SILVA BELINZON. ANA MARIA AGRESTA. FRANCISCO MATEUCCI BORRA. NILDA MULLER. MARIA VAGO","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15802-1986"
1986-01-31,"Law","Ley 15801","DENOMINACION DE ESCUELA RURAL N° 22. PUEBLO BOLIVAR. CANELONES","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15801-1986"
1986-01-31,"Law","Ley 15800","BANCO DE PREVISION SOCIAL. REINSTITUCIONALIZACION","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15800-1986"
1986-02-28,"Law","..","..","..",".."
1986-03-31,"Law","Ley 15807","FUNCIONARIOS PUBLICOS - FUNCIONARIOS DESTITUIDOS","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15807-1986"
1986-03-31,"Law","Ley 15806","TRIBUTOS. REGIMEN DE FACILIDADES DE PAGO","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15806-1986"
1986-03-31,"Law","Ley 15805","REFINANCIACION DE DEUDAS","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15805-1986"
1986-04-30,"Law","Norma S/N del año 1986","DIGESTO SOBRE EL USO Y APROVECHAMIENTO DEL RIO URUGUAY. REGLAMENTACION DEL ESTATUTO DEL RIO URUGUAY","(Texto Internacional)","https://www.impo.com.uy/bases/normas-internacional/SN19860905001-1986"
1986-04-30,"Law","Ley 15812","APROBACION DE ACUERDO INTERNACIONAL - PRESTAMOS","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15812-1986"
1986-04-30,"Law","Ley 15811","APROBACION DE ACUERDO INTERNACIONAL - INTERCAMBIO CULTURAL","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15811-1986"
1986-04-30,"Law","Ley 15810","PUEBLO ACEGUA. CERRO LARGO","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15810-1986"
1986-04-30,"Law","Ley 15809","PRESUPUESTO NACIONAL DE SUELDOS GASTOS E INVERSIONES. EJERCICIO 1985 1990","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15809-1986"
1986-04-30,"Law","Ley 15808","FUNCIONARIOS MILITARES","(Documento actualizado)","https://www.impo.com.uy/bases/leyes/15808-1986"
